EdgeIdx,NodeR,NodeL,Ridx,Lidx,Ridx_orig,Lidx_orig,B,A,K,H,CC,actSign
421,221,347,221,44,1617,1300,0.933071,3.941367,-4.042928,0.4,0.792803,1
422,221,351,221,48,1617,1308,0.942395,4.865118,-2.974142,0.1,0.850955,1
423,221,357,221,54,1617,1316,3.197543,5.753371,-4.009552,0.3,0.964665,1
424,222,347,222,44,1618,1300,0.138834,0.650397,-2.890533,5,0.774731,1
425,222,357,222,54,1618,1316,0.336097,6.346243,-2.351085,0.8,0.99377,1
426,223,312,223,9,1619,1111,0.574845,0.517939,-5.277251,9.9,0.444455,1
427,223,347,223,44,1619,1300,0.319715,4.074401,-2.488953,0.3,0.973969,1
428,223,351,223,48,1619,1308,0.404226,1.273109,-3.893393,6.7,0.985541,1
429,223,357,223,54,1619,1316,0.855617,7.369479,-2.513682,0.4,0.988616,1
430,224,357,224,54,1620,1316,0.404213,8.366949,-2.341104,0.8,0.966715,1
431,225,357,225,54,1621,1316,0.503742,8.04407,-2.323734,0.7,0.975485,1
432,226,357,226,54,1622,1316,0.423214,2.904899,-3.231401,0.8,0.991009,1
433,227,344,227,41,1623,1295,0.162042,0.174626,-3.718674,1.9,0.947197,1
434,228,344,228,41,1624,1295,0.155691,0.172428,-3.747377,1.2,0.932979,1
435,229,353,229,50,1626,1310,0.178624,13.570834,-2.152338,1,0.994626,1
436,230,353,230,50,1633,1310,0.273661,6.869065,-2.319638,0.7,0.996953,1
437,231,346,231,43,1634,1299,0.383491,1.019451,-4.307659,0.6,0.922839,1
438,231,350,231,47,1634,1307,0.321846,0.682849,-2.586784,0.8,0.967751,1
439,231,378,231,75,1634,1348,0.16637,0.529797,-2.849541,5,0.960826,1
440,232,346,232,43,1635,1299,0.306914,0.795894,-4.498451,0.6,0.968898,1
441,232,350,232,47,1635,1307,0.275249,0.30463,-3.647727,1.2,0.932023,1
442,232,378,232,75,1635,1348,0.122552,0.634558,-2.878617,5.7,0.965114,1
443,233,346,233,43,1636,1299,0.21485,2.134072,-3.381715,0.6,0.988324,1
444,233,350,233,47,1636,1307,0.235448,0.369674,-2.844455,4.7,0.951907,1
445,233,378,233,75,1636,1348,0.09353,0.586869,-2.871677,2.1,0.990104,1
446,234,339,234,36,1637,1289,0.72279,1.581074,-3.894089,8.2,0.995341,1
447,235,353,235,50,1638,1310,0.292146,1.145354,-3.938967,6.1,0.738348,1
448,236,353,236,50,1639,1310,0.271962,1.047453,-3.889824,3.3,0.669204,1
449,237,353,237,50,1640,1310,0.271726,6.037766,-2.868651,0.7,0.997461,1
450,238,352,238,49,1641,1309,0.354372,0.587219,-3.813146,0.4,0.890177,1
451,239,318,239,15,1646,1145,0.132038,-0.017078,-7.958442,0.6,0.45918,-1
452,239,352,239,49,1646,1309,0.511714,1.027001,-4.013555,0.6,0.972082,1
453,240,314,240,11,1647,1115,0.177428,0.106364,-2.737586,2.5,0.870372,1
454,240,354,240,51,1647,1311,0.253579,1.08179,-2.797369,2.3,0.976321,1
455,241,314,241,11,1648,1115,0.156924,0.113889,-2.879122,9.9,0.832516,1
456,241,354,241,51,1648,1311,0.215278,1.228374,-2.830992,4.3,0.994122,1
457,242,348,242,45,1649,1303,0.431524,1.03137,-2.942292,7.4,0.979277,1
458,243,352,243,49,1650,1309,0.958548,3.526652,-6.460648,0.5,0.978845,1
459,243,356,243,53,1650,1315,0.222781,1.34013,-2.779454,1.9,0.982967,1
460,243,392,243,89,1650,1416,0.23081,0.242025,-2.791792,6.8,0.881237,1
461,244,381,244,78,1651,1372,0.332721,0.197042,-2.774353,1.8,0.868829,1
462,245,381,245,78,1652,1372,0.345644,0.103041,-2.862893,0.8,0.705627,1
463,246,348,246,45,1653,1303,0.120548,0.296785,-2.901922,7.4,0.962224,1
464,247,352,247,49,1654,1309,0.399568,0.830153,-4.235921,0.8,0.957717,1
465,248,352,248,49,1655,1309,0.364696,0.812887,-4.338709,0.8,0.968113,1
466,249,352,249,49,1660,1309,0.246865,0.833254,-2.985916,0.3,0.953817,1
467,250,344,250,41,1661,1295,0.244922,0.055484,-4.5,9.9,0.669539,1
468,251,344,251,41,1662,1295,0.287442,0.04927,-4.985765,4.9,0.553724,1
469,252,344,252,41,1664,1295,0.252847,0.218255,-3.985431,9.9,0.930196,1
470,253,344,253,41,1665,1295,0.251525,0.243298,-4,1.3,0.958048,1
471,254,344,254,41,1666,1295,0.228395,0.206914,-4.211535,1.2,0.948429,1
472,255,344,255,41,1667,1295,0.324408,0.229077,-4.053995,2,0.89887,1
473,256,354,256,51,1669,1311,0.170888,1.028069,-2.944377,9.9,0.965802,1
