1	absinthe
2	acacia
3	acetic
4	acetone
5	acidic
6	acorn
7	acrylate
8	agarwood
9	alcoholic
10	aldehydic
11	algae
12	alliaceous
13	allspice
14	almond
15	almond-bitter-almond
16	almond-roasted-almond
17	almond-toasted-almond
18	amber
19	ambergris
20	ambrette
21	ammoniacal
22	angelica
23	animal
24	anise
25	anisic
26	apple
27	apple-cooked-apple
28	apple-dried-apple
29	apple-green-apple
30	apple-skin
31	apricot
32	aromatic
33	arrack
34	artichoke
35	asafetida
36	asparagus
37	astringent
38	autumn
39	bacon
40	baked
41	balsamic
42	banana
43	banana-peel
44	banana-ripe-banana
45	banana-unripe-banana
46	barley-roasted-barley
47	basil
48	bay
49	bean-green-bean
50	beany
51	beef-juice
52	beefy
53	beefy-roasted-beefy
54	beer
55	beeswax
56	benzoin
57	bergamot
58	berry
59	bitter
60	blackberry
61	bloody
62	blueberry
63	bois-de-rose
64	boronia
65	bouillon
66	brandy
67	bread-baked
68	bread-crust
69	bread-rye-bread
70	bready
71	broccoli
72	brothy
73	brown
74	bubble-gum
75	buchu
76	burnt
77	butter-rancid
78	buttermilk
79	butterscotch
80	buttery
81	cabbage
82	calamus
83	camphoreous
84	cananga
85	candy
86	cantaloupe
87	capers
88	caramellic
89	caraway
90	cardamom
91	carnation
92	carrot
93	carrot-seed
94	carvone
95	cashew
96	cassia
97	castoreum
98	catty
99	cauliflower
100	cedar
101	cedarwood
102	celery
103	cereal
104	chamomile
105	charred
106	cheesy
107	cheesy-bleu-cheese
108	cheesy-feta-cheese
109	cheesy-limburger-cheese
110	cheesy-parmesan-cheese
111	cheesy-roquefort-cheese
112	chemical
113	cherry
114	cherry-maraschino-cherry
115	chervil
116	chicken
117	chicken-coup
118	chicken-fat
119	chicken-roasted-chicken
120	chicory
121	chive
122	chocolate
123	chocolate-dark-chocolate
124	chrysanthemum
125	cider
126	cilantro
127	cinnamon
128	cinnamyl
129	cistus
130	citronella
131	citrus
132	citrus-peel
133	citrus-rind
134	civet
135	clam
136	clean
137	cloth-laundered-cloth
138	clove
139	clover
140	cocoa
141	coconut
142	coffee
143	coffee-roasted-coffee
144	cognac
145	cologne
146	cooked
147	cookie
148	cooling
149	copaiba
150	coriander
151	corn
152	corn chip
153	corn-chip
154	cornmint
155	cortex
156	costus
157	cotton-candy
158	coumarinic
159	cranberry
160	creamy
161	cubeb
162	cucumber
163	cucumber-skin
164	cumin
165	currant-black-currant
166	currant-bud-black-currant-bud
167	currant-red-currant
168	curry
169	custard
170	cyclamen
171	cypress
172	dairy
173	date
174	davana
175	deertongue
176	dewy
177	dill
178	dirty
179	dry
180	durian
181	dusty
182	earthy
183	egg-nog
184	egg-yolk
185	eggy
186	elderberry
187	elderflower
188	elemi
189	estery
190	ethereal
191	eucalyptus
192	fatty
193	fecal
194	fennel
195	fenugreek
196	fermented
197	fig
198	filbert
199	fir-needle
200	fishy
201	fleshy
202	floral
203	foliage
204	forest
205	fougere
206	fox-odor
207	frankincense
208	freesia
209	fresh
210	fresh-outdoors
211	fried
212	fruit-dried-fruit
213	fruit-overripe-fruit
214	fruit-ripe-fruit
215	fruit-tropical-fruit
216	fruity
217	fungal
218	fusel
219	galanga
220	galbanum
221	gardenia
222	garlic
223	gasoline
224	gasoline-like
225	gassy
226	genet
227	geranium
228	ginger
229	ginseng
230	goaty
231	goji-berry
232	gooseberry
233	gourmand
234	graham-cracker
235	grain
236	grain-toasted-grain
237	grape
238	grape-skin
239	grapefruit
240	grapefruit-peel
241	grassy
242	gravy
243	greasy
244	green
245	grilled
246	guaiacol
247	guaiacwood
248	guava
249	hairy
250	ham
251	hawthorn
252	hay
253	hay-new-mown-hay
254	hazelnut
255	hazelnut-roasted-hazelnut
256	heather
257	heliotrope
258	herbal
259	hibiscus
260	honey
261	honeydew
262	honeysuckle
263	hops
264	horehound
265	horseradish
266	humus
267	hyacinth
268	hyssop
269	immortelle
270	incense
271	jackfruit
272	jammy
273	jasmin
274	jonquil
275	juicy
276	juicy-fruit
277	juniper
278	ketonic
279	kimchi
280	kiwi
281	kumquat
282	labdanum
283	lactonic
284	lamb
285	lard
286	lavandin
287	lavender
288	lavender-spike-lavender
289	leafy
290	leathery
291	leek
292	lemon
293	lemon-peel
294	lemongrass
295	lettuce
296	licorice
297	licorice-black-licorice
298	lilac
299	lily
300	lily-of-the-valley
301	lime
302	linden-flower
303	liver
304	loganberry
305	lovage
306	lychee
307	mace
308	magnolia
309	mahogany
310	malty
311	mandarin
312	mango
313	maple
314	marigold
315	marine
316	marjoram
317	marshmallow
318	marzipan
319	mastic
320	meaty
321	meaty-roasted-meaty
322	medicinal
323	melon
324	melon-rind
325	melon-unripe-melon
326	mentholic
327	metallic
328	milky
329	mimosa
330	minty
331	molasses
332	moldy
333	mossy
334	muguet
335	mushroom
336	musk
