OdorIdx,ListIdx,MolIdx,CAS,OdorTypeN,OdorDescriptorN
1899,5,23,7786-67-6,329,240;329;257;147;243;538;321
1900,5,26,7787-20-4,82,82;181;257;538
1901,5,51,8000-25-7,257,82;40;257;538
1902,5,52,8000-25-7,257,82;329;257;538;40;208
1903,5,53,8000-25-7,257,82;329;257;538;40;208
1904,5,54,8000-25-7,257,434
1905,5,55,8000-25-7,257,82;329;257;538;40
1906,5,56,8000-25-7,257,82;329;257;538;40;208
1907,5,57,8000-25-7,257,434;257
1908,5,58,8000-25-7,257,40;257
1909,5,59,8000-25-7,257,434;257
1910,5,60,8000-25-7,257,434;257
1911,5,61,8000-25-7,257,82;434
1912,5,63,8000-25-7,257,434
1913,5,64,8000-25-7,257,82;40;257;538
1914,5,65,8000-26-8,495,170;482;395;276;538;40;470
1915,5,66,8000-26-8,40,504;208;198;40;215
1916,5,67,8000-26-8,495,495;538
1917,5,71,8000-27-9,538,353;538;99;40;100
1918,5,73,8000-28-0,201,82;9;257;201;31;538;40;470
1919,5,74,8000-28-0,257,82;332;257;201;259;251;538;40;470
1920,5,75,8000-28-0,257,208;201;257;251
1921,5,76,8000-28-0,201,201;286;257;538
1922,5,77,8000-28-0,201,201;286;257;482
1923,5,78,8000-28-0,257,257;201;482;286;470;215
1924,5,79,8000-28-0,257,257;201;538;40;286
1925,5,80,8000-28-0,201,201;286;257;538
1926,5,81,8000-28-0,201,201;286;257;538
1927,5,82,8000-28-0,201,286;257;482
1928,5,83,8000-28-0,257,286
1929,5,84,8000-28-0,257,286
1930,5,85,8000-29-1,130,240;533;430;288;534;130;291;538;208
1931,5,86,8000-29-1,130,533;430;175;130;482;243;502;538;408;208
1932,5,87,8000-29-1,130,129;130
1933,5,88,8000-29-1,130,129;130
1934,5,89,8000-29-1,130,129;533;482;538;208
1935,5,91,8000-34-8,470,394;201;482;31;525;137;538;470;215
1936,5,92,8000-34-8,470,394;147;482;137;538;470;135
1937,5,93,8000-34-8,470,137;470;482
1938,5,95,8000-34-8,470,394;329;482;321;31;137;538;408;40;470;215
1939,5,96,8000-34-8,470,394;329;390;31;538;408;40;470
1940,5,97,8000-34-8,470,394;137;470
1941,5,98,8000-34-8,470,353;468;178;482;137;470;215
1942,5,99,8000-34-8,470,137
1943,5,100,8000-34-8,470,137;470
1944,5,101,8000-34-8,470,137;470
1945,5,102,8000-34-8,470,394;329;191;31;538;408;470
1946,5,104,8000-41-7,257,300;201;395;538;208;135
1947,5,105,8000-42-8,257,329;257;208;457;91;93;40;470;68
1948,5,106,8000-42-8,257,88
1949,5,107,8000-44-0,215,113;482;14
1950,5,109,8000-46-2,201,226;257;430;176;243;482;208
1951,5,110,8000-46-2,201,533;257;432;201;243;408;208;470
1952,5,111,8000-46-2,201,430;432;201;176;243;408;470
1953,5,112,8000-46-2,201,329;432;201;176;243;408;470
1954,5,113,8000-46-2,257,202;257;430;181;243
1955,5,114,8000-46-2,243,329;430;288;181;243
1956,5,115,8000-46-2,201,181;257;482;430
1957,5,116,8000-46-2,201,226;201
1958,5,117,8000-46-2,201,432;176;201;243;470
1959,5,120,8000-48-4,257,82;257;190;321
1960,5,121,8000-48-4,257,257;198;128;40;215;165
1961,5,122,8000-48-4,257,257;190
1962,5,123,8000-48-4,257,257;190
1963,5,125,8000-48-4,257,257;190
1964,5,126,8000-48-4,257,257;190
1965,5,127,8000-48-4,257,190
1966,5,130,8000-66-6,470,82;525;190;538;321;40;470
1967,5,131,8000-66-6,257,358;130;525;538;40
1968,5,132,8000-66-6,201,259;201;470
1969,5,133,8000-66-6,470,82;525;190;538;321;40;470
1970,5,135,8000-68-8,257,394;257;288;243;538;208;470
1971,5,136,8000-68-8,257,257;243;482;251;525;538;101;470
1972,5,137,8000-68-8,257,373
1973,5,138,8000-68-8,257,257;373
1974,5,139,8000-68-8,257,257;373
1975,5,140,8000-68-8,257,257;243;482;525;538;470
1976,5,142,8000-78-0,11,221
1977,5,143,8000-78-0,11,11;221
1978,5,145,8000-78-0,11,11;221
1979,5,146,8000-78-0,11,221
1980,5,147,8001-04-5,335,335
1981,5,148,8001-04-5,335,22;335
1982,5,151,8001-21-6,531,191;531
1983,5,152,8001-21-6,257,353;366;201;531;180;538;1;470
1984,5,165,8001-25-0,243,240;351;390;243;455
1985,5,173,8001-25-0,243,353;9;191;243;482
1986,5,203,8001-31-8,191,348;208;191;215
1987,5,209,8001-31-8,191,348;208;191;215
1988,5,218,8001-61-4,538,40;281;538
1989,5,219,8001-61-4,40,40;148;538
1990,5,220,8001-67-0,141,142;141
1991,5,221,8001-67-0,141,121;141;142;500;232
1992,5,222,8001-67-0,201,189;201;121;470;517
1993,5,239,8001-88-5,463,394;289;463;539
1994,5,243,8001-99-8,257,497;394;257;321;470
1995,5,244,8001-99-8,257,497;257;394
1996,5,247,8002-03-7,348,353;191;427;378;159;348;380
1997,5,252,8002-09-3,257,257;495;243;251;395;538;423
1998,5,253,8002-09-3,395,395
1999,5,262,8002-31-1,139,408;139;58;327
2000,5,265,8002-41-3,470,82;495;31;190;538;321;470;127
2001,5,269,8002-48-0,87,477;259;159;482;309
2002,5,272,8002-56-0,470,208;388
2003,5,273,8002-60-6,470,227;181;130;337
2004,5,274,8002-60-6,470,227;257;495;181;130;538;470
2005,5,275,8002-63-9,538,201;181;482;538
2006,5,278,8002-66-2,257,394;257;482;321;215
2007,5,279,8002-66-2,257,82;40;257;538
2008,5,280,8002-67-3,75,75;463;17;289;423
2009,5,281,8002-67-3,423,538;289;423
2010,5,283,8002-68-4,40,276;40;18;482
2011,5,284,8002-68-4,40,495;40;538
2012,5,285,8002-72-0,480,480;354
2013,5,286,8002-72-0,480,480;354
2014,5,287,8002-72-0,480,480;354
2015,5,288,8002-72-0,480,480;354
2016,5,289,8002-72-0,480,480;354
2017,5,290,8002-73-1,201,191;522;201;534;482;57;181;538;208;215;420;377
2018,5,291,8002-73-1,201,191;522;201;482;525;538;215
2019,5,292,8002-73-1,531,522;201;482;57;531;538;215
2020,5,293,8002-73-1,538,366
2021,5,294,8002-73-1,201,366
2022,5,295,8002-73-1,201,522;201;534;243;482;57;538
2023,5,315,8006-64-2,495,40;208;495;538
2024,5,316,8006-75-5,257,88;469;525;208;470
2025,5,317,8006-75-5,257,88;257;518;288;329;147;176;243;482;538;470
2026,5,318,8006-75-5,257,470;257;243
2027,5,319,8006-75-5,257,470;257;243
2028,5,320,8006-75-5,257,470;257;482;538
2029,5,321,8006-75-5,257,176
2030,5,322,8006-75-5,257,470;257;482;538
2031,5,323,8006-75-5,257,88;469;176;525;208;470
2032,5,324,8006-76-6,243,353;240;491;430;288;482;251;441;243
2033,5,325,8006-76-6,243,207;491;363;430;257;243;62;40
2034,5,326,8006-76-6,201,40;257;201;215
2035,5,327,8006-77-7,470,394;191;126;9;495;482;137;538;177;470
2036,5,328,8006-77-7,470,394;347;126;482;137;525;538;408;177;470
2037,5,329,8006-77-7,470,137;525;470;482
2038,5,330,8006-77-7,470,470
2039,5,331,8006-77-7,470,482;137;525;538;470
2040,5,332,8006-77-7,470,12
2041,5,333,8006-77-7,470,191;9;347;482;137;47;538;208;470
2042,5,334,8006-77-7,470,137;347;470;482
2043,5,335,8006-77-7,470,137;470;126;482
2044,5,337,8006-78-8,470,353;9;257;482;326;31;137;531;470
2045,5,338,8006-78-8,470,47
2046,5,339,8006-78-8,470,47
2047,5,340,8006-80-2,470,82;201;447;482;538;428;208;470
2048,5,342,8006-81-3,201,298;201;391;344;470
2049,5,343,8006-81-3,201,201;470;482
2050,5,344,8006-81-3,201,329;298;201;482;391;344
2051,5,345,8006-81-3,201,201;544
2052,5,346,8006-81-3,201,201;544
2053,5,347,8006-81-3,201,272;207;298;201;139;232;327;470
2054,5,348,8006-81-3,201,329;298;201;482;391;344
2055,5,349,8006-81-3,470,201;538;40;470;289
2056,5,351,8006-81-3,201,201;344;391;298
2057,5,352,8006-82-4,470,257;495;390;525;538;470;415
2058,5,353,8006-82-4,470,390
2059,5,354,8006-82-4,470,257;388;538;208;470;415
2060,5,355,8006-82-4,470,257;495;243;388;538;208;470
2061,5,356,8006-82-4,470,525;470;388
2062,5,357,8006-83-5,257,82;329;257;495;243;441;395;538
2063,5,360,8006-84-6,23,257;390;181;243;482;470;23
2064,5,361,8006-84-6,24,82;459;390;482;470
2065,5,362,8006-84-6,329,295;193
2066,5,363,8006-84-6,295,82;295;390;24;470
2067,5,364,8006-86-8,201,538;201;57;62
2068,5,365,8006-87-9,538,257;495;482;538;40;470;94;444
2069,5,366,8006-87-9,538,257;495;482;538;40;470;94
2070,5,367,8006-90-4,329,329;135;389
2071,5,368,8006-90-4,329,329;147;325;243;482;84;208
2072,5,369,8006-90-4,329,329;389
2073,5,370,8006-90-4,329,389
2074,5,371,8006-90-4,329,389
2075,5,372,8006-90-4,329,389
2076,5,373,8006-90-4,329,329;257;147;325;389;408;470
2077,5,374,8006-90-4,329,389
2078,5,375,8006-90-4,329,329;389
2079,5,376,8006-90-4,329,389
2080,5,377,8006-90-4,329,389
2081,5,378,8006-90-4,329,389
2082,5,379,8006-90-4,329,389
2083,5,380,8006-90-4,329,389
2084,5,381,8006-90-4,329,329;135;415;389
2085,5,382,8006-90-4,329,329;147;325;243;84;321
2086,5,383,8006-90-4,329,329;135;415;389
2087,5,384,8006-90-4,329,329;135;415;389
2088,5,387,8007-00-9,40,482;538;423;408;40;517
2089,5,388,8007-00-9,40,17;482;423;408;40;470;127;517
2090,5,389,8007-00-9,40,17;482;538;423;408;40;127;517
2091,5,390,8007-00-9,40,17;538;408;40;517
2092,5,391,8007-01-0,201,208;470;482;430
2093,5,392,8007-01-0,201,430;201;482;243;531;154;470
2094,5,393,8007-01-0,201,430;201;531;536;33;470
2095,5,394,8007-01-0,201,201;470;482;430
2096,5,395,8007-01-0,201,430;201;482;531;470;215
2097,5,397,8007-01-0,201,430
2098,5,398,8007-01-0,201,531;201;470;430
2099,5,399,8007-01-0,201,430
2100,5,400,8007-01-0,201,430
2101,5,401,8007-01-0,201,430;201;482;536;470
2102,5,402,8007-02-1,130,240;130;293
2103,5,403,8007-02-1,130,240;201;130;243;482;62;291;503;208
2104,5,404,8007-02-1,130,293
2105,5,405,8007-04-3,257,459;257;518;495;485;201;482;243;538;470;53;262;215
2106,5,406,8007-04-3,243,459;257;482;243;470;53
2107,5,407,8007-04-3,257,262
2108,5,408,8007-06-5,470,227;347;126;495;482;388;206;538;208;470;23
2109,5,409,8007-08-7,470,227;208;482;538
2110,5,410,8007-08-7,470,257;495;130;538;470
2111,5,411,8007-08-7,470,227;495;130;525;538;470
