OdorIdx,ListIdx,MolIdx,CAS,OdorTypeN,OdorDescriptorN
0,1,4,50-21-5,352,
1,1,11,50-70-4,87,
2,1,24,51-67-2,319,394;436;319;145;177
3,1,47,56-12-2,319,319;451
4,1,53,56-40-6,352,
5,1,54,56-41-7,352,
6,1,62,56-81-5,352,
7,1,63,56-84-8,352,
8,1,64,56-85-9,327,327;168;139;353
9,1,65,56-86-0,543,543;66
10,1,71,57-06-7,480,336;415
11,1,74,57-10-3,531,191;159;531
12,1,79,57-48-7,352,
13,1,83,57-55-6,352,
14,1,90,58-08-2,352,
15,1,97,58-86-6,463,87;482;463;538
16,1,113,59-92-7,352,
17,1,115,60-01-5,105,191;105;159;4;531
18,1,117,60-12-8,201,430;201;259;482;431;69;208
19,1,157,63-91-2,352,
20,1,159,64-04-0,199,199;20
21,1,160,64-17-5,8,321;189;8
22,1,161,64-18-6,2,459;2;195;521;415;215
23,1,162,64-19-7,4,468;459;521;415
24,1,172,65-85-0,40,40;514
25,1,176,66-25-1,243,240;9;191;518;288;481;243;538;208;215;135
26,1,183,67-47-0,191,87;191;337;531;79
27,1,187,67-63-0,8,538;337;8
28,1,188,67-64-1,466,25;381;189;466
29,1,190,67-68-5,11,353;191;105;221;334;443
30,1,202,69-65-8,352,
31,1,203,69-72-7,348,394;348
32,1,217,71-23-8,8,494;381;217;543;482;337;25;195;8;215
33,1,219,71-36-3,195,353;535;217;482;40
34,1,220,71-41-0,195,353;466;217;543;482;195;69;536;40;415
35,1,227,72-19-5,451,
36,1,245,74-93-1,480,353;184;518;221;11;159;451;80
37,1,249,75-04-7,20,199;20
38,1,251,75-07-0,189,9;189;337;208;215;415
39,1,254,75-18-3,480,480;150;518;159;482;243;57;199;502;417;454;354;80;215
40,1,259,75-31-0,199,199;20
41,1,260,75-33-2,11,459;480;115;224;319;71;426;354;415
42,1,267,75-50-3,199,353;481;199;215;419
43,1,282,76-09-5,538,375;181;525;69;538
44,1,285,76-22-2,82,82
45,1,286,76-49-3,40,82;257;325;395;538;99;470
46,1,287,76-50-6,257,516;505;82
47,1,299,77-53-2,538,178;100;538;482
48,1,300,77-54-3,538,99;178;408;538
49,1,304,77-70-3,87,87;348
50,1,307,77-74-7,243,215;243;288
51,1,309,77-83-8,215,191;259;201;482;475;215
52,1,312,77-90-7,257,482;257;536
53,1,314,77-92-9,352,
54,1,323,78-35-3,215,56;274;130;482;57;538;286;215
55,1,324,78-36-4,201,56;470;41;201;130;482;57;396;61;215
56,1,325,78-37-5,40,17;298;482;40;281;344
57,1,327,78-59-1,538,82;499;147;243;482;337;289;538;215;100
58,1,329,78-69-3,201,353;191;491;297;298;201;62;132;538
59,1,331,78-70-6,201,358;430;495;201;130;482;243;62;531;538;61
60,1,334,78-81-9,199,199;105
61,1,335,78-83-1,189,536;189
62,1,336,78-84-2,9,208;201;9;415
63,1,337,78-85-3,201,202;266;243
64,1,339,78-92-2,215,30;482
65,1,340,78-93-3,189,82;215;189;3
66,1,343,78-96-6,199,199
67,1,344,78-98-8,87,189;438;482;4;72
68,1,349,79-09-4,4,105;4;171;521;415
69,1,352,79-14-1,79,
70,1,353,79-20-9,189,143;189;466;482;536;188;215;438
71,1,355,79-31-2,4,468;105;4;79;171;419
72,1,356,79-33-4,352,
73,1,360,79-42-5,480,480;427;319;451;72
74,1,367,79-69-6,201,522;366;201;482;57;538;408;420
75,1,368,79-70-9,201,522;482;57;538;408;208
76,1,371,79-77-6,201,457;366;201;178;482;57;538;408;215
77,1,372,79-78-7,215,533;366;201;243;531;538;505;289;517;215
78,1,375,79-89-0,201,18;366;201;531;538
79,1,377,79-92-5,538,82;329;257;147;495;130;243;198;395;538;470
80,1,383,80-25-1,538,257;464;300;538;144;208
81,1,385,80-26-2,257,56;257;300;201;130;531;538;286;470;135
82,1,387,80-27-3,243,226;257;130;243;482;541;538;505
83,1,395,80-54-6,201,163;201;243;333;530;408
84,1,396,80-56-8,257,82;257;147;495;181;482;395;538;208
85,1,397,80-57-9,82,82;325;101
86,1,398,80-59-1,470,87;178;482;4;538;426;470;72;415;215
87,1,399,80-62-6,6,31;6;215
88,1,402,80-71-7,87,87;312
89,1,408,81-14-1,335,335;191;464;201;178;408
90,1,409,81-15-2,335,335;191;464;178;482
91,1,424,83-34-1,22,22;340;192;133
92,1,431,83-66-9,335,457;19;482;337
93,1,466,85-91-6,201,394;201;237;482;337;536;344;408;208;215;135
94,1,467,86-26-0,201,215;430
95,1,477,87-05-8,348,524;348
96,1,481,87-19-4,201,363;257;147;201;482;138;470;537
97,1,483,87-20-7,201,363;257;201;326;538
98,1,485,87-22-9,201,430;201;266;90;40
99,1,487,87-25-2,201,362;201;482;236;537
100,1,489,87-29-6,40,
101,1,492,87-41-2,157,394;282;504;482;140;408;157
102,1,493,87-44-5,470,178;482;137;538;470
103,1,496,87-55-8,159,87;159;79;312
104,1,500,87-69-4,352,
105,1,506,87-91-2,215,87;215;536
106,1,509,88-09-5,4,535;178;57;4;505;171;215
107,1,511,88-14-2,352,
108,1,512,88-15-3,480,524;348;480;253
109,1,516,88-29-9,335,335;19;482
110,1,518,88-41-5,215,257;28;215;538
111,1,520,88-60-8,22,22;289
112,1,522,88-69-7,394,394;498;75;466;436;463;538;321
113,1,524,88-84-6,538,246;178;482;538;408;40;470
114,1,531,89-43-0,201,362;201;482;298
115,1,533,89-47-4,325,516;325;215;482
116,1,534,89-48-5,325,329;491;147;215
117,1,541,89-74-7,201,329;201;482;538;328
118,1,542,89-78-1,325,147;538;389
119,1,543,89-79-2,329,321;329;538;147
120,1,544,89-80-5,329,329
121,1,545,89-81-6,257,82;329;257;321
122,1,546,89-82-7,329,82;329;257;480;74;482;389;326;208
123,1,548,89-83-8,257,82;497;394;257;111;321;470
124,1,551,89-88-3,538,482;429;538;40;444
125,1,557,90-02-8,321,126;147;321;470;537
126,1,559,90-05-1,394,394;319;463;538;321;470;451;517
127,1,560,90-12-0,340,340;111;321;82
128,1,562,90-17-5,201,408;201;430
129,1,568,90-42-6,257,163;329;257;366;482;368;538;169
130,1,576,90-87-9,201,288;201;181;243;482;130;259;334;524;266
131,1,577,91-01-0,243,533;243;430
132,1,580,91-10-1,463,394;38;463;482;538;408;40;321
133,1,581,91-16-7,517,394;159;482;337;517
134,1,584,91-20-3,415,178;415;423
135,1,585,91-22-5,321,499;436;181;337;321;289
136,1,587,91-50-9,201,208;362;344;299
137,1,588,91-51-0,201,298;362;130;243;333;208
138,1,592,91-57-6,201,201;482;538
139,1,593,91-60-1,480,353;480;427;319;436;71;159;334;538;72
140,1,594,91-61-2,22,22;18;133;289
141,1,595,91-62-3,22,133;499;504;96;192;289
142,1,598,91-64-5,504,504;252;482;251;157
143,1,601,91-87-2,201,291;272;243;298
144,1,606,92-48-8,140,159;201;482;140;408;517
145,1,607,92-52-4,243,226;430;243;415
146,1,610,92-68-2,201,366;201;368;538;169;208
147,1,616,93-04-9,340,340;362;201;482;1;344
148,1,618,93-08-3,201,362;259;482;408;344
149,1,620,93-15-2,470,394;126;518;390;482;337;525;137;90;531;208;470
150,1,622,93-16-3,470,201;137;90;538;470
151,1,624,93-18-5,340,340;362;201;130;408;236
152,1,625,93-19-6,22,349;499;22;429;538;289
153,1,628,93-28-7,470,201;482;137;90;538;208;470;309
154,1,630,93-29-8,470,201;482;90;408;40;470
155,1,635,93-51-6,470,394;482;463;84;137;321;470;289;517
156,1,636,93-53-8,243,459;297;288;243;266;208
157,1,637,93-54-9,201,40;201;482
158,1,638,93-55-0,201,257;297;250;201;31;112
159,1,641,93-58-3,394,83;394;111;201;537;112;13
160,1,642,93-60-7,257,499;525;257
161,1,646,93-89-0,329,178;482;337;321;236;112;215;537
162,1,647,93-91-4,40,357;250;178;538;40;517
163,1,649,93-92-5,243,424;457;288;243;337;57;220;215
164,1,651,94-02-0,215,340;394;250;482;112;215
165,1,655,94-13-3,463,75;250;482;463;538
166,1,659,94-30-4,24,295;201;408;482;489;112;24;470;215
167,1,664,94-46-2,40,243;482;531;40;215
168,1,665,94-47-3,201,40;201;259;430
169,1,666,94-48-4,40,17;482;430;544
170,1,667,94-50-8,40,40;215
171,1,669,94-58-6,470,448;470
172,1,670,94-59-7,470,201;482;525;448;538;470;23
173,1,671,94-62-2,470,22;390
174,1,676,94-86-0,517,394;499;24;159;201;482;538;408;470;517
175,1,682,95-16-9,480,480;518;436;319;348;141;145;72
176,1,685,95-20-5,22,22;340
177,1,686,95-21-6,499,394;499;75;319;86;408
178,1,688,95-41-0,201,272;257;201;178;482;531;538;101;208
179,1,690,95-48-7,394,394;257;337;321;398;289
180,1,695,95-65-8,178,
181,1,700,95-87-4,394,340;394;38;482;463
182,1,705,96-04-8,79,353;79;105
183,1,707,96-08-2,325,325
184,1,711,96-17-3,121,139;348;121;337;141;195;309
185,1,713,96-22-0,189,189;3
186,1,715,96-26-4,329,329
187,1,722,96-48-0,159,353;159;191;87
188,1,725,96-54-8,538,257;463;538
189,1,733,97-41-6,257,257;201;482;268;536;123;215
190,1,734,97-42-7,329,257;469;243;482;215
191,1,735,97-45-0,329,525;329;215;482
192,1,736,97-53-0,470,394;38;126;12;482;137;538;249;470;451
193,1,737,97-54-1,470,201;482;137;90;538;470
194,1,739,97-61-0,105,468;105
195,1,740,97-62-1,215,189;217;482;8;215;438;415
196,1,741,97-63-2,6,6
197,1,742,97-64-3,215,459;189;490;482;78;4;79;215;72
198,1,747,97-85-8,215,214;189;41;237;396;215
199,1,749,97-87-0,215,511;105;41;130;243;482;25;322;505;215
200,1,751,97-89-2,215,226;201;130;482;243;505;215
201,1,753,97-95-0,8,8;482;337
202,1,754,97-96-1,243,189;139;243;482;215
203,1,756,97-99-4,518,353;87;518;525;98
204,1,757,98-00-0,69,87;480;111;482;337;141;69;8;188;72
205,1,758,98-01-1,69,87;394;482;69;538;66;72;13
206,1,759,98-02-2,141,353;191;480;75;115;319;355;463;142;451
207,1,760,98-03-3,480,
208,1,765,98-52-2,538,82;375;329;337;538;289
209,1,766,98-53-3,538,375;335;329;538;289
210,1,767,98-54-4,289,349;289
211,1,769,98-55-5,495,297;147;495;300;201;130;395;291;538;423
212,1,774,98-85-1,111,340;82;111;482;220;266;321;208;13
213,1,775,98-86-2,201,317;250;157;111;348;482;256;1;517;112;328;415;13
214,1,777,98-89-5,215,214;105;326;4;505;215
215,1,797,99-48-9,329,469;88
216,1,798,99-49-0,329,329;295
217,1,799,99-50-3,394,40;394
218,1,803,99-72-9,243,257;201;243;482;538;408
219,1,804,99-75-2,24,24;201;482;544
220,1,807,99-83-2,495,257;495;130;243;388;538
221,1,809,99-85-4,495,353;257;495;300;130;482;291;538;505
222,1,810,99-86-5,538,82;497;274;257;495;130;291;538;321;470
223,1,812,99-87-6,495,163;125;495;111;130;291;365;538;208;470
224,1,813,99-89-8,538,321;525;470;538
225,1,814,99-91-2,201,251;201;482;250
226,1,816,99-93-4,201,40;328;482;250
227,1,818,99-96-7,394,394;348
228,1,820,NF002,215,30;487;215;482
229,1,823,NF012,201,430;201;482;544;40
230,1,829,100-06-1,24,250;113;408;482;1;24;40;517
231,1,831,100-09-4,22,22;394;192;321
232,1,838,100-42-5,40,40;201;398;482
233,1,844,100-51-6,201,394;430;111;201;482;40;215
234,1,845,100-52-7,215,459;113;348;482;58;408;112;215;13
235,1,846,100-53-8,11,459;329;480;221;11;264;141;354
236,1,850,100-66-3,394,394;222;189;23
237,1,852,100-68-5,466,452;466;538;470;415
238,1,854,100-71-0,243,240;243
239,1,859,100-84-5,201,341
240,1,861,100-86-7,201,353;424;430;201;243;154;135
241,1,868,101-39-3,470,126;482;525;40;95;470
242,1,870,101-41-7,259,215;259;201;482;531;470;13
243,1,873,101-48-4,243,202;430;181;201;243;334
244,1,874,101-49-5,243,259;243;482;531;266
245,1,877,101-81-5,243,226;534;243;482;398
246,1,880,101-84-8,243,226;394;243;288
247,1,881,101-85-9,470,272;126;201;482;531;470;215
248,1,883,101-86-0,201,272;257;201;130;243;482;531;408;208;505;470;215
249,1,886,101-94-0,22,298;430;259;341;22;266
250,1,887,101-97-3,201,430;259;201;482;139;24;40;122;296
251,1,889,102-04-5,408,457;430;259;201;482;398;14;408;112
252,1,893,102-13-6,121,259;201;482;121;139;531;17;215
253,1,894,102-16-9,201,272;430;201;139;482
254,1,895,102-17-0,24,40;259;538;23
255,1,896,102-19-2,121,430;96;259;139;482;121;201;22;40
256,1,897,102-20-5,201,191;430;259;201;482;243;408;40;127
257,1,898,102-22-7,201,31;226;259;215
258,1,906,102-69-2,199,199;20
259,1,909,102-76-1,215,159;4;505;215;135
260,1,917,103-05-9,201,430;298;522;201;243;62;208;135
261,1,918,103-07-1,201,288;430;482;341;243;40
262,1,920,103-09-3,181,265;181;257;177
263,1,922,103-13-9,87,87;79;215
264,1,927,103-25-3,259,201;259;536;40;215
265,1,928,103-26-4,40,482;475;40;112;127
266,1,929,103-28-6,201,353;272;274;430;482;538;408;505;215
267,1,933,103-36-6,40,399;482;57;408;40;470;127;215
268,1,934,103-37-7,215,30;272;303;396;482;25;531;208;505;215
269,1,935,103-38-8,215,257;482;337;25;408;396;215
270,1,936,103-41-3,40,470;201;482;408;40;112;215
271,1,939,103-45-7,201,430;543;259;201;482;139;40;505;215
272,1,941,103-48-0,201,430;543;259;201;531;40;433;215;377
273,1,942,103-50-4,181,430;181;482;334;398;112;215
274,1,943,103-52-6,201,543;201;482;475;337
275,1,944,103-53-7,40,202;430;40;470;215
276,1,946,103-54-8,470,126;430;201;482;408;40;188;470
277,1,947,103-56-0,470,201;482;243;73;40;236;112;470;215
278,1,948,103-58-2,215,275;477;271;259;482;195;40;505;215;367
279,1,949,103-59-3,215,396;201;482;13;505;470;127;215
280,1,950,103-60-6,243,430;259;201;482;243;25;531;408;505;215
281,1,951,103-61-7,40,143;536;40;215;127
282,1,952,103-64-0,243,266;243;288
283,1,960,103-82-2,259,468;133;499;430;201;259;482;121;261;22;531;408
284,1,964,103-93-5,22,298;201;243;341;22;215
285,1,966,103-95-7,201,424;201;243;337;169;208
286,1,968,104-09-6,243,394;297;348;243;482;341;154;208;215
287,1,973,104-20-1,57,430;522;178;259;482;538;408;1;112;215;420;517
288,1,975,104-21-2,408,470;504;399;159;482;408;40;112;215;517;157
289,1,976,104-27-8,408,157;24;178;482;256;408;112;215;517;13
290,1,980,104-45-0,24,295;257;193;482;448;428;296;23
291,1,981,104-46-1,295,321;295;482;23
292,1,983,104-50-7,140,30;191;504;377;464;159;482;531;140;327;171;215;157
293,1,985,104-53-0,243,202;9;288;201;243;154;322;40;208;474
294,1,987,104-54-1,40,126;201;243;482;266;195;408;40;470;127
295,1,988,104-55-2,470,9;126;259;482;31;408;40;95;470;127;423
296,1,989,104-57-4,201,111;201;492;112;13;158;470;215
297,1,990,104-61-0,140,353;191;159;482;531;140;79
298,1,991,104-62-1,201,257;430;243;266;527
299,1,992,104-64-3,201,126;259;201;482;266
300,1,993,104-65-4,40,257;201;243;341;40;215;127
301,1,995,104-67-6,215,30;282;191;159;277;140;215;377
302,1,998,104-76-7,130,353;201;130;482;208
303,1,1000,104-87-0,215,394;112;215
304,1,1002,104-90-5,348,181;348;407;427
305,1,1004,104-93-8,340,340;394;82;329;348;341;544;408
306,1,1006,105-01-1,215,201;536;538;396;215
307,1,1010,105-13-5,408,282;295;297;430;250;201;159;482;266;408;40;112;157
308,1,1012,105-21-5,140,87;282;504;348;159;482;251;140;408;157
309,1,1015,105-37-3,215,274;189;396;482;195;536;182;236;215;438
310,1,1019,105-43-1,22,459;105;481;243;4;22;215
311,1,1020,105-45-3,215,130;208;215;243
312,1,1021,105-46-4,466,41;215;466
313,1,1022,105-53-3,215,243;25;215;482
314,1,1024,105-54-4,215,275;143;511;482;396;215
315,1,1025,105-57-7,189,189;518;348;181;243;482
316,1,1029,105-66-8,215,30;481;482;396;215;419
317,1,1030,105-67-9,463,463;427
318,1,1031,105-68-0,215,214;426;41;482;243;25;505;208;396;188;215
319,1,1032,105-70-4,8,
320,1,1036,105-79-3,215,28;243;482;505;396;188;215;377
321,1,1037,105-82-8,243,257;288;243;208;123
322,1,1038,105-85-1,201,30;56;310;430;399;201;130;482;243;161;531;215;377
323,1,1039,105-86-2,201,377;430;201;243;25;433;208;505;344;215
324,1,1041,105-87-3,201,257;430;147;201;243;531;286
325,1,1042,105-89-5,201,226;519;430
326,1,1043,105-90-8,201,518;430;201;259;531;408;208;505;215
327,1,1044,105-91-9,215,271;201;243;57;215
328,1,1046,105-95-3,335,335;201;19;482;538;408;470;517
329,1,1050,106-02-5,335,335;295;499;22;256;408;343;215;72;157
330,1,1058,106-18-3,531,464;378;531;195;171;215
331,1,1062,106-21-8,201,358;9;191;464;430;300;130;243;337;291;531;538;208;289
332,1,1064,106-22-9,201,191;430;495;201;130;482;243;531;289
333,1,1065,106-23-0,201,9;257;430;201;178;482;130;243;531
334,1,1067,106-24-1,201,129;430;201;130;482;531;215
335,1,1069,106-25-2,201,208;307;300;201;130;482;243;291;531;343;470;344
336,1,1070,106-26-3,130,291;130;482;292
337,1,1072,106-27-4,215,30;381;511;41;243;482;25;322;505;188;215
338,1,1073,106-28-5,201,298;201;482;333;531
339,1,1074,106-29-6,215,30;430;482;243;531;208;505;215;420;377
340,1,1076,106-30-9,215,143;457;41;482;57;243;536;396;188;215;438
341,1,1078,106-32-1,531,30;381;41;65;159;482;337;531;536;396;171;215
342,1,1079,106-32-1,215,195;191;215;536
343,1,1081,106-33-2,531,464;201;438;482;159;531;135
344,1,1083,106-35-4,243,191;105;243;482;277;337;215
345,1,1084,106-36-5,111,459;111;482;536;396;215;415
346,1,1086,106-44-5,394,22;394;328;341
347,1,1095,106-65-0,215,243;201;215;482
348,1,1097,106-68-3,257,257;518;331;105;482;337;277;243;334;195;208;286
349,1,1099,106-70-7,215,396;215;189
350,1,1100,106-72-9,322,353;529;528;201;482;368;243;322;208;135
351,1,1101,106-73-0,215,366;201;243;482;57;25;531;215
352,1,1110,107-02-8,215,112;13
353,1,1111,107-03-9,11,482;354;80;224
354,1,1117,107-18-6,11,336;415
355,1,1118,107-19-7,201,226
356,1,1123,107-31-3,215,399;188;215
357,1,1133,107-74-4,201,298;430;201;243;135;386
358,1,1135,107-75-5,201,298;201;130;243;482;531;322;505
359,1,1137,107-85-7,20,20
360,1,1138,107-86-8,215,348;482;112;215;72;415;13
361,1,1139,107-87-9,215,189;41;482;195;536;538;215
362,1,1141,107-92-6,105,459;105;2;79;171;215
363,1,1142,107-93-7,327,327
364,1,1143,107-95-9,352,
365,1,1149,108-10-1,243,459;470;257;466;243;171;215
366,1,1150,108-11-2,415,8;415
367,1,1153,108-21-4,189,189;41;111;482;215
368,1,1154,108-22-5,215,189;237;482;57;2;215
369,1,1155,108-24-7,4,
370,1,1157,108-29-2,257,499;257;139;482;525;538
371,1,1162,108-39-4,394,321;394;289;538
372,1,1166,108-46-3,348,394;250;159;348;337;517
373,1,1167,108-47-4,463,394;463
374,1,1168,108-48-5,348,353;518;139;348;199;20;69;538
375,1,1169,108-50-9,121,427;139;348;141;320
376,1,1174,108-64-5,215,358;459;511;482;243;25;396;188;215
377,1,1182,108-82-7,189,208;195;189;543
378,1,1183,108-83-8,243,189;41;243;326;277;195;396;215
379,1,1184,108-84-9,215,41;215;482
380,1,1189,108-93-0,82,82;394;325
381,1,1190,108-94-1,329,329;3
382,1,1191,108-95-2,394,394;398;436
383,1,1193,108-98-5,319,394;480;436;319;221;11
384,1,1197,109-05-7,20,152;199;20;484;454
385,1,1198,109-06-8,481,
386,1,1199,109-08-0,348,427;378;348;139;243;121;346;337;181;72
387,1,1200,109-15-9,531,353;9;464;159;181;243;531;215;135
388,1,1202,109-19-3,215,381;482;243;25;396;215;415;377
389,1,1203,109-20-6,215,353;257;243;482;25;322;396;61;215
390,1,1204,109-21-7,215,275;214;426;41;243;482;213;208;396;112;215
391,1,1205,109-25-1,257,240;257;215;44
392,1,1207,109-29-5,335,17;335;482;22;40
393,1,1208,109-29-5,335,408;22;335;482
394,1,1213,109-42-2,191,191;217;201;79;536;215
395,1,1214,109-43-3,215,353;215
396,1,1215,109-49-9,189,201;189
397,1,1216,109-52-4,105,468;459;499;105;481;4;327;215;419
398,1,1219,109-60-4,215,381;466;217;482;101;215;420;415
399,1,1223,109-73-9,20,199;20
400,1,1225,109-79-5,480,191;480;221;52;355;141;182;354
401,1,1226,109-80-8,319,319;480
402,1,1230,109-89-7,20,199;20
403,1,1232,109-94-4,189,143;189;430;243;195;536;8
404,1,1233,109-95-5,189,482;215;189;438
405,1,1234,109-97-7,348,189;525;348;482
406,1,1237,110-01-0,480,80
407,1,1238,110-02-1,480,11;221
408,1,1243,110-15-6,352,
409,1,1246,110-19-0,215,189;41;482;25;505;215
410,1,1256,110-36-1,353,353;191
411,1,1258,110-38-3,531,353;65;482;25;531;236;215
412,1,1259,110-39-4,215,353;272;181;159;243;482;531;208;343;215
413,1,1260,110-40-7,215,416;536;215;322
414,1,1262,110-41-8,9,332;17;9;224;130;326;531;507;208;157
415,1,1264,110-42-9,195,353;201;215;536
416,1,1265,110-43-0,105,257;105;41;159;482;243;277;140;538;470;215
417,1,1267,110-45-2,243,164;459;189;399;178;181;243;25;531;154;188;215
418,1,1269,110-58-7,199,199;20
419,1,1272,110-62-3,195,348;57;195;69;215
420,1,1275,110-66-7,480,191;480;518;427;319
421,1,1279,110-74-7,189,189;243;482;57;215;438
422,1,1282,110-81-6,11,221;224;242;426;354
423,1,1284,110-85-0,20,20
424,1,1285,110-86-1,199,468;20;199
425,1,1288,110-89-4,22,22;201;482
426,1,1290,110-93-0,130,105;41;159;130;243;337;277;25;215;293
427,1,1303,111-11-5,531,358;9;257;518;243;482;531
428,1,1304,111-12-6,243,191;518;288;522;201;243;523;531;161;322;215
429,1,1305,111-13-7,181,533;257;181;337;277;109;538;343;171;106
430,1,1306,111-14-8,105,468;105;481;531;195;396;215;419
431,1,1312,111-26-2,199,199;20;337
432,1,1313,111-27-3,257,353;189;217;482;243;8;215;415
433,1,1314,111-28-4,243,317;535;257;518;348;421;482;243;337;13
434,1,1317,111-31-9,75,191;480;75;221;319;427;11;348
435,1,1325,111-47-7,11,11;354;221
436,1,1327,111-55-7,243,188;201;243;8
437,1,1331,111-61-5,531,531
438,1,1332,111-62-6,191,353;191;486;531;327;171
439,1,1338,111-70-6,243,257;518;288;41;522;243;337;482;25;538;215;415;386
440,1,1339,111-71-7,243,143;191;9;257;243;368;208
441,1,1344,111-79-5,243,381;518;522;243;482;531;322;215
442,1,1346,111-80-8,243,201;243;523;161;322
443,1,1347,111-81-9,191,191;430;181;130;201;531;216
444,1,1348,111-82-0,531,464;159;334;531;140
445,1,1351,111-87-5,531,358;9;191;430;201;130;243;482;334;531;140
446,1,1360,112-05-0,531,171;531;177;105
447,1,1361,112-06-1,243,30;381;191;9;130;243;531;536;538;213;208;438
448,1,1366,112-12-9,215,191;366;159;201;277;531;396;215
449,1,1369,112-14-1,201,257;181;243;334;25;531;215
450,1,1371,112-17-4,531,191;464;159;130;482;531;136;208;135
451,1,1373,112-19-6,208,459;191;295;430;105;319;531;136;208;171;215;135
452,1,1374,112-23-2,243,257;518;399;201;243;25;531;161;215
453,1,1377,112-30-1,191,358;191;201;482;531;530;135
454,1,1379,112-31-2,9,358;9;201;130;482;360;531;132
455,1,1380,112-32-3,215,358;430;531;161;215
456,1,1383,112-37-8,531,191;105;159;531;140
457,1,1385,112-39-0,531,353;366;531;191
458,1,1388,112-42-5,531,464;430;201;130;531;136;208
459,1,1389,112-43-6,130,201;130;368;531;208;135
460,1,1390,112-44-7,9,358;125;9;191;464;528;201;130;243;531;136;396
461,1,1392,112-45-8,9,310;9;191;430;464;130;243;531
462,1,1393,112-45-8,9,314;358;9;191;201;130
463,1,1396,112-53-8,531,191;464;259;181;531;140
464,1,1397,112-54-9,9,9;464;201;130;243;531;361
465,1,1398,112-55-0,480,319;462;145
466,1,1402,112-61-8,531,353;531
467,1,1404,112-63-0,353,353;191;538
468,1,1405,112-66-3,531,482;531;136;208;135
469,1,1408,112-72-1,531,366;531;215;140
470,1,1412,112-80-1,191,353;191;210;284;486;531;451
471,1,1430,115-18-4,257,353;181;257
472,1,1440,115-71-9,538,538;444
473,1,1446,115-95-7,257,56;495;201;130;243;482;538;286;470;135
474,1,1448,115-99-1,257,56;257;430;130;243;215
475,1,1449,116-02-9,329,329;147;325;337;470
476,1,1451,116-09-6,87,87;189;482;415
477,1,1455,116-26-7,257,82;394;434;257;499;408;326;538;321;208;470
478,1,1457,116-53-0,4,105;110;4;195;177;215;415
479,1,1458,116-66-5,335,335;19;178;482;408
480,1,1464,117-98-6,538,178;482;429;538;520;408;444
481,1,1471,118-55-8,40,40;215;482
482,1,1475,118-58-1,40,353;257;482;40;135
483,1,1476,118-60-5,201,40;363;482
484,1,1477,118-61-6,329,329;511;147;201;482;40;470;537
485,1,1478,118-65-0,538,470;538
486,1,1479,118-71-8,87,87;75;66;271;156;482;69;215
487,1,1480,118-72-9,480,394;480;427;319;463;326
488,1,1484,118-93-4,394,394;459;499;257;250;259;482;322;14;505;112
489,1,1486,119-36-8,329,82;394;329;482;31;428;537
490,1,1489,119-53-9,40,321;40;82;517
491,1,1491,119-61-9,40,226;257;430;326;408;40
492,1,1493,119-65-3,40,257;482;14;40;23
493,1,1495,119-84-6,504,257;504;126;159;482;140;470;517;157
494,1,1498,120-11-6,470,307;90;408;40;470
495,1,1501,120-14-9,159,394;257;159;482;538;408;517
496,1,1503,120-24-1,470,126;201;259;482;137;470
497,1,1504,120-25-2,517,408;201;482;517
498,1,1509,120-45-6,201,533;430;201;130;482;243;220;208;505;215
499,1,1512,120-50-3,40,111;482;337;408;40;112;215
500,1,1514,120-51-4,40,353;257;201;482;40;215
501,1,1517,120-57-0,201,113;159;482;140;256;408;112;127;517
502,1,1518,120-58-1,470,448;470;482
503,1,1520,120-72-9,22,340;201;337;22;192;415
504,1,1531,121-32-4,517,87;159;482;428;517
505,1,1533,121-33-5,517,394;159;482;121;517
506,1,1534,121-34-6,159,49;394;159;408;482;327;171;72;517
507,1,1535,121-39-1,215,430;201;259;482;57;475;505
508,1,1537,121-44-8,199,199;20
509,1,1546,121-97-1,337,24;337
510,1,1547,121-98-2,24,257;482;23
511,1,1548,122-00-9,201,340;250;482;408;1;112;328;517;157
512,1,1549,122-03-2,470,257;163;470;243
513,1,1556,122-40-7,201,353;272;257;201;482;243;408;505;215
514,1,1557,122-43-0,259,430;201;259;482;121;139;251
515,1,1558,122-44-1,201,430;243;266;40;470
516,1,1559,122-45-2,181,358;181;259;62;46;429
517,1,1560,122-46-3,394,341;201;394;415
518,1,1561,122-48-5,470,227;394;159;482;538;40;470;517
519,1,1564,122-57-6,470,394;126;424;271;159;201;482;408;24;40;470;215
520,1,1565,122-59-8,259,468;482
521,1,1568,122-63-4,215,272;41;271;201;482;25;40;215
522,1,1570,122-67-8,40,482;40;281;470;215
523,1,1571,122-68-9,40,30;40;470;482
524,1,1572,122-69-0,40,272;126;430;201;482;40;95;470;127
525,1,1574,122-70-3,201,432;259;201;40;215;474
526,1,1576,122-72-5,40,126;259;482;251;40;470;127;474;215
527,1,1578,122-73-6,201,272;533;48;220;376;215
528,1,1579,122-74-7,201,201;266;40;215;328
529,1,1580,122-78-1,243,430;201;259;482;243;139;121;181;266;195;138;408
530,1,1581,122-78-1,243,201;243;430;138
531,1,1583,122-84-9,215,295;193;159;243;482;24;40;470;215
532,1,1585,122-91-8,470,456;201;408;482;24;470;215;517
533,1,1588,122-97-4,40,126;201;259;482;266;40;470;127;215
534,1,1589,122-99-6,201,40;127;430
535,1,1592,123-07-9,463,394;245;96;463;451
536,1,1593,123-08-0,538,348;259;482;326;538;40;72;517;13
